"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely","day","real_order"
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,1.08510638297872,-0.680851063829787,1.85106382978723,0.179487179487179,0.234042553191489,-1.02127659574468,NA,NA,0.361702127659575,0.574468085106383,1.34042553191489,-0.25531914893617,57,5
"5",NA,0.191489361702128,-0.276595744680851,0.0851063829787235,-0.680851063829787,-1.14893617021277,NA,0.234042553191489,-1.02127659574468,NA,NA,-2.63829787234043,-1.42553191489362,0.340425531914894,0.74468085106383,45,5
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,-0.914893617021276,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-1.02127659574468,NA,NA,0.361702127659575,-0.425531914893617,0.340425531914894,-0.25531914893617,53,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,0.0851063829787235,-0.680851063829787,-0.148936170212766,0.179487179487179,0.234042553191489,-0.021276595744681,NA,NA,0.361702127659575,0.574468085106383,-0.659574468085106,-0.25531914893617,29,4
"5",0.17948717948718,0.191489361702128,0.723404255319149,1.08510638297872,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,1.97872340425532,NA,NA,0.361702127659575,-1.42553191489362,-1.65957446808511,0.74468085106383,49,4
"5",0.17948717948718,-0.808510638297872,-0.276595744680851,-0.914893617021276,0.319148936170213,0.851063829787234,-0.820512820512821,-0.765957446808511,0.978723404255319,NA,NA,0.361702127659575,-1.42553191489362,-0.659574468085106,-0.25531914893617,25,4
"5",-0.82051282051282,1.19148936170213,-1.27659574468085,-0.914893617021276,-0.680851063829787,-0.148936170212766,-0.820512820512821,0.234042553191489,0.978723404255319,NA,NA,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,13,4
"5",1.17948717948718,1.19148936170213,1.72340425531915,-1.91489361702128,0.319148936170213,-0.148936170212766,-0.820512820512821,0.234042553191489,1.97872340425532,NA,NA,-0.638297872340425,0.574468085106383,-0.659574468085106,0.74468085106383,57,4
"5",NA,0.191489361702128,0.723404255319149,-0.914893617021276,0.319148936170213,-1.14893617021277,NA,-1.76595744680851,-1.02127659574468,NA,NA,0.361702127659575,-0.425531914893617,0.340425531914894,0.74468085106383,29,4
"5",NA,2.19148936170213,0.723404255319149,-0.914893617021276,0.319148936170213,-0.148936170212766,NA,-1.76595744680851,1.97872340425532,NA,NA,0.361702127659575,-1.42553191489362,-0.659574468085106,1.74468085106383,25,4
"5",-0.82051282051282,-0.808510638297872,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-2.02127659574468,NA,NA,1.36170212765957,1.57446808510638,1.34042553191489,2.74468085106383,53,4
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,-0.820512820512821,1.23404255319149,-2.02127659574468,NA,NA,1.36170212765957,1.57446808510638,1.34042553191489,-1.25531914893617,41,4
"5",-0.82051282051282,-0.808510638297872,0.723404255319149,1.08510638297872,-0.680851063829787,0.851063829787234,1.17948717948718,0.234042553191489,-2.02127659574468,NA,NA,0.361702127659575,0.574468085106383,0.340425531914894,-1.25531914893617,37,4
"5",1.17948717948718,0.191489361702128,-1.27659574468085,0.0851063829787235,-0.680851063829787,-0.148936170212766,0.179487179487179,-0.765957446808511,-2.02127659574468,NA,NA,-0.638297872340425,0.574468085106383,0.340425531914894,0.74468085106383,33,4
"5",0.17948717948718,-0.808510638297872,1.72340425531915,-0.914893617021276,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,1.97872340425532,NA,NA,0.361702127659575,0.574468085106383,0.340425531914894,-0.25531914893617,57,3
"5",1.17948717948718,-0.808510638297872,0.723404255319149,-0.914893617021276,-0.680851063829787,-2.14893617021277,-0.820512820512821,0.234042553191489,0.978723404255319,NA,NA,-1.63829787234043,-0.425531914893617,-0.659574468085106,-0.25531914893617,53,3
