"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"10125",7,1,1,1,1,2,2,3,4,4,3,4,2,"4","4.1",1,43,1.44444444444444,3,2,3.08333333333333,1.66666666666667,3,3,3.91666666666667,2.41666666666667
"10131",35,1,1,1,2,3,3,4,1,3,3,4,2,"4","4.1",1,47,1.1,3.20588235294118,2.41176470588235,3.58823529411765,1,2.52941176470588,3.23333333333333,3.64705882352941,1.58823529411765
"10143",23,1,1,0,1,5,2,3,2,2,1,3,3,"4","4.1",1,54,2.20689655172414,3.73529411764706,2.73529411764706,3.5,2.23529411764706,2.67647058823529,2.86206896551724,3.14705882352941,3.11764705882353
"10171",11,1,1,0,1,3,1,2,2,3,3,4,3,"4","4.1",1,66,2.09090909090909,2.81818181818182,1.45454545454545,2.36363636363636,1.90909090909091,2.90909090909091,3.45454545454545,4.18181818181818,3.18181818181818
"10175",25,1,1,1,1,1,1,5,3,4,3,4,1,"4","4.1",1,69,2.16666666666667,3.18518518518519,2.81481481481481,3,2.92592592592593,2.2962962962963,2.83333333333333,2.88888888888889,1.48148148148148
"10206",33,1,1,1,1,2,2,3,1,3,2,4,3,"4","4.1",1,75,1.35135135135135,3,1.92682926829268,3.19512195121951,1.19512195121951,2.95121951219512,3.62162162162162,4.24390243902439,2.09756097560976
"10233",11,1,1,0,1,3,3,4,1,5,3,3,2,"4","4.1",1,86,1.83333333333333,2.75,2.75,3.75,1.25,4.25,3.33333333333333,3.58333333333333,2
"10240",18,1,1,0,1,2,4,2,1,3,3,3,3,"4","4.1",1,90,1.26923076923077,2.96428571428571,2.71428571428571,2.42857142857143,2.21428571428571,2.17857142857143,3.38461538461538,3.75,3.21428571428571
"10248",20,1,1,0,2,2,1,5,1,4,2,4,2,"4","4.1",1,93,1.25,3.35,2.45,3.45,1.35,2.05,2.3125,3,2.65
"10248",20,1,1,1,1,3,2,5,1,3,4,4,1,"4","4.1",2,93,1.25,3.35,2.45,3.45,1.35,2.05,2.3125,3,2.65
"10270",32,1,1,1,1,2,1,5,1,4,4,5,1,"4","4.1",1,102,1.14285714285714,3.22619047619048,2.96428571428571,4.14285714285714,1.10714285714286,3.0952380952381,3.46753246753247,4.01190476190476,1.4047619047619
"10272",29,1,1,0,2,4,3,2,2,2,2,5,5,"4","4.1",1,103,2.25,3.27586206896552,3.3448275862069,2.75862068965517,2.48275862068966,2.48275862068966,3,3.20689655172414,2.79310344827586
"10272",29,1,1,1,2,4,4,2,2,2,2,4,4,"4","4.1",2,103,2.25,3.27586206896552,3.3448275862069,2.75862068965517,2.48275862068966,2.48275862068966,3,3.20689655172414,2.79310344827586
"10276",23,1,1,1,1,3,1,5,1,4,4,5,1,"4","4.1",1,106,1.33333333333333,4.08695652173913,2.47826086956522,2.91304347826087,2.43478260869565,2.30434782608696,3.33333333333333,3.34782608695652,2.65217391304348
"10280",22,1,1,1,1,2,1,3,2,4,3,5,2,"4","4.1",1,108,1,3.54545454545455,2.27272727272727,3.45454545454545,1.68181818181818,2.27272727272727,4,3.81818181818182,2.36363636363636
"10289",44,1,1,0,1,4,2,3,1,3,4,4,2,"4","4.1",1,112,1.47457627118644,3.11666666666667,1.96666666666667,3.03333333333333,1.43333333333333,3.16666666666667,3.3728813559322,4.31666666666667,2.56666666666667
"10289",44,1,1,1,1,3,3,3,1,4,4,3,3,"4","4.1",2,112,1.47457627118644,3.11666666666667,1.96666666666667,3.03333333333333,1.43333333333333,3.16666666666667,3.3728813559322,4.31666666666667,2.56666666666667
"10292",6,1,1,1,1.73333333333333,5,5,4,1,1,2.8,3,2,"4","4.1",1,113,1.73333333333333,3.58823529411765,2.52941176470588,3.11764705882353,1.88235294117647,2.64705882352941,2.8,3.47058823529412,2.58823529411765
"10293",12,1,1,0,1,2,1,4,1,4,4,4,1,"4","4.1",1,114,1.09090909090909,2.5,1.5,4.42857142857143,1,3.21428571428571,3.23809523809524,4.53571428571429,1.28571428571429
"10310",48,1,1,0,2,4,1,4,3,4,3,4,2,"4","4.1",1,118,2.56818181818182,3.40350877192982,2.87719298245614,3.68421052631579,2.01754385964912,3,2.25,3.2280701754386,2.42105263157895
"10318",28,1,1,1,1,4,3,2,1,2,3,4,4,"4","4.1",1,120,1.56521739130435,3.80645161290323,3,2.83870967741935,1.70967741935484,2.06451612903226,3.39130434782609,3.54838709677419,2.93548387096774
"10336",7,1,1,0,1,4,3,5,1,1,4,3,1,"4","4.1",1,128,1.35294117647059,3.51351351351351,2.91891891891892,2.94594594594595,2.02702702702703,2.43243243243243,3.41176470588235,3.05405405405405,2.72972972972973
"10345",18,1,1,1,1,5,3,4,1,1,3,5,3,"4","4.1",1,132,1.5625,3.33333333333333,2.05555555555556,3.38888888888889,1.66666666666667,2.5,3.1875,4.05555555555556,2.88888888888889
"10349",9,1,1,1,1,5,1,2,4,1,2,2,4,"4","4.1",1,133,1.14814814814815,3.64516129032258,2.48387096774194,3.16129032258065,1.7741935483871,2.32258064516129,3,3.80645161290323,2.64516129032258
"10360",13,1,1,1,1,4,1,3,1,2,3,5,3,"4","4.1",1,136,1.375,4,2.31578947368421,3,1.68421052631579,2,3.125,3.63157894736842,2.36842105263158
"10372",66,1,1,0,2,4,1,3,3,2,2,4,2,"4","4.1",1,141,1.97413793103448,3.97515527950311,3.32919254658385,3.3167701863354,2.91304347826087,2.08074534161491,3.45689655172414,3.02484472049689,3.21739130434783
