"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"4",-0.666666666666667,-1.375,-1.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,23.78125,3.6875,NA,NA
"4",-0.666666666666667,1.625,1.1875,0.3125,2.1875,0.71875,0.703703703703704,0.5,2.0625,0,0.25,0.34375,2.21875,19.78125,2.6875,NA,NA
"4",-0.666666666666667,0.625,1.1875,-0.6875,1.1875,-1.28125,-2.2962962962963,-1.5,1.0625,-2,-1.75,-1.65625,2.21875,7.78125,-0.3125,NA,NA
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,0.71875,-0.296296296296296,0.5,0.0625,0,-0.75,0.34375,0.21875,3.78125,-1.3125,NA,NA
"4",1.33333333333333,-1.375,0.1875,0.3125,3.1875,-0.28125,-0.296296296296296,0.5,0.0625,0,0.25,0.34375,0.21875,-0.21875,-2.3125,NA,NA
"4",1.33333333333333,0.625,0.1875,-1.6875,2.1875,-1.28125,-0.296296296296296,-1.5,1.0625,0,-1.75,-0.65625,1.21875,-4.21875,3.6875,NA,NA
"4",1.33333333333333,-1.375,0.1875,1.3125,-0.8125,1.71875,-0.296296296296296,-0.5,-0.9375,1,1.25,1.34375,-0.78125,-16.21875,0.6875,NA,NA
"4",-0.666666666666667,0.625,0.1875,1.3125,-0.8125,-0.28125,1.7037037037037,0.5,1.0625,-1,1.25,1.34375,-0.78125,-20.21875,-0.3125,NA,NA
"4",1.33333333333333,-1.375,0.1875,0.3125,-0.8125,1.71875,0.703703703703704,0.5,-0.9375,1,1.25,0.34375,-0.78125,-24.21875,-1.3125,NA,NA
"4",NA,-0.375,0.1875,0.3125,0.1875,0.71875,NA,0.5,0.0625,0,0.25,0.34375,0.21875,28.78125,-2.3125,NA,NA
"4",-0.666666666666667,-0.375,-0.8125,0.3125,0.1875,0.71875,1.7037037037037,0.5,-0.9375,-1,0.25,0.34375,2.21875,24.78125,3.6875,NA,NA
"4",-0.666666666666667,-0.375,2.1875,-0.6875,-0.8125,1.71875,1.7037037037037,0.5,0.0625,0,0.25,-0.65625,0.21875,20.78125,2.6875,NA,NA
"4",-0.666666666666667,-1.375,-0.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,12.78125,0.6875,NA,NA
"4",-0.666666666666667,2.625,-1.8125,-2.6875,1.1875,-2.28125,-0.296296296296296,-2.5,3.0625,-3,-2.75,-2.65625,-0.78125,8.78125,-0.3125,NA,NA
"4",0.333333333333333,-0.375,0.1875,0.3125,-0.8125,-0.28125,-0.296296296296296,-1.5,-0.9375,-1,1.25,0.34375,-0.78125,4.78125,-1.3125,NA,NA
"4",NA,1.625,0.1875,0.3125,1.1875,-1.28125,NA,-0.5,-0.9375,1,-0.75,-0.65625,0.21875,0.78125,-2.3125,NA,NA
"4",1.33333333333333,-1.375,-1.8125,1.3125,-0.8125,1.71875,-0.296296296296296,1.5,-0.9375,1,1.25,1.34375,-0.78125,-11.21875,1.6875,NA,NA
"4",1.33333333333333,-1.375,0.1875,-1.6875,-0.8125,-2.28125,-0.296296296296296,-1.5,0.0625,-1,-0.75,1.34375,0.21875,-15.21875,0.6875,NA,NA
"4",-0.666666666666667,0.625,-1.8125,-0.6875,-0.8125,-0.28125,-0.296296296296296,0.5,-0.9375,1,-0.75,-0.65625,-0.78125,-19.21875,-0.3125,NA,NA
"4",-0.666666666666667,0.625,0.1875,0.3125,0.1875,-1.28125,0.703703703703704,0.5,-0.9375,1,0.25,-1.65625,-0.78125,-26.21875,-1.3125,NA,NA
"5",0.179487179487179,0.191489361702128,0.723404255319149,0.0851063829787234,0.319148936170213,-0.148936170212766,0.179487179487179,-0.765957446808511,-0.0212765957446809,-0.638297872340426,-0.425531914893617,0.340425531914894,0.74468085106383,28.4893617021277,0.957446808510638,NA,NA
"5",1.17948717948718,0.191489361702128,1.72340425531915,0.0851063829787234,2.31914893617021,-1.14893617021277,-0.82051282051282,0.234042553191489,0.978723404255319,0.361702127659574,-1.42553191489362,-0.659574468085106,0.74468085106383,24.4893617021277,-0.042553191489362,NA,NA
"5",0.179487179487179,1.19148936170213,-1.27659574468085,-1.91489361702128,0.319148936170213,-0.148936170212766,-1.82051282051282,0.234042553191489,1.97872340425532,-0.638297872340426,-1.42553191489362,-0.659574468085106,0.74468085106383,20.4893617021277,-1.04255319148936,NA,NA
"5",0.179487179487179,-0.808510638297872,1.72340425531915,-1.91489361702128,1.31914893617021,1.85106382978723,0.179487179487179,0.234042553191489,-2.02127659574468,0.361702127659574,1.57446808510638,1.34042553191489,-1.25531914893617,4.48936170212766,1.95744680851064,NA,NA
"5",NA,1.19148936170213,0.723404255319149,2.08510638297872,-0.680851063829787,0.851063829787234,NA,-0.765957446808511,-2.02127659574468,-0.638297872340426,0.574468085106383,1.34042553191489,-0.25531914893617,-3.51063829787234,-0.042553191489362,NA,NA
"5",-0.82051282051282,-0.808510638297872,-0.276595744680851,0.0851063829787234,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,-1.02127659574468,-0.638297872340426,0.574468085106383,-0.659574468085106,-0.25531914893617,-7.51063829787234,-1.04255319148936,NA,NA
"5",0.179487179487179,0.191489361702128,-0.276595744680851,0.0851063829787234,0.319148936170213,-1.14893617021277,0.179487179487179,-0.765957446808511,-0.0212765957446809,-0.638297872340426,-1.42553191489362,-0.659574468085106,-0.25531914893617,-15.5106382978723,-3.04255319148936,NA,NA
"5",NA,2.19148936170213,2.72340425531915,2.08510638297872,0.319148936170213,-2.14893617021277,NA,-1.76595744680851,-1.02127659574468,1.36170212765957,-0.425531914893617,0.340425531914894,-1.25531914893617,-19.5106382978723,2.95744680851064,NA,NA
"5",-0.82051282051282,-0.808510638297872,-0.276595744680851,-1.91489361702128,0.319148936170213,0.851063829787234,-0.82051282051282,-0.765957446808511,1.97872340425532,-0.638297872340426,-2.42553191489362,-1.65957446808511,-0.25531914893617,-23.5106382978723,1.95744680851064,NA,NA
"5",-0.82051282051282,-0.808510638297872,0.723404255319149,0.0851063829787234,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,-0.0212765957446809,0.361702127659574,-0.425531914893617,0.340425531914894,0.74468085106383,29.4893617021277,0.957446808510638,NA,NA
"5",NA,2.19148936170213,-0.276595744680851,-1.91489361702128,1.31914893617021,-1.14893617021277,NA,0.234042553191489,1.97872340425532,-1.63829787234043,-1.42553191489362,-0.659574468085106,-0.25531914893617,21.4893617021277,-1.04255319148936,NA,NA
"5",0.179487179487179,1.19148936170213,-0.276595744680851,0.0851063829787234,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,1.97872340425532,0.361702127659574,-0.425531914893617,-0.659574468085106,0.74468085106383,17.4893617021277,-2.04255319148936,NA,NA
"5",NA,2.19148936170213,0.723404255319149,1.08510638297872,0.319148936170213,0.851063829787234,NA,0.234042553191489,0.978723404255319,-1.63829787234043,0.574468085106383,0.340425531914894,1.74468085106383,13.4893617021277,-3.04255319148936,NA,NA
